Species,trName,presentInGardnerTree,tip,position,node,distUp,justification,reference,notes,Higher_taxon,Region,Comments.corrections,deleteReason,sequenced_gall_inducers,comments_ar
Quercus_humboldtii,Quercus_humboldtii,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_hypoleucoides,Quercus_hypoleucoides,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_hypophaea,Quercus_hypophaea,,Quercus_hypophaea,sister to Q. gilva,Quercus_gilva,10,"sect. cyclobalanopsis; CTB group, sister to Q. kerrii,  should be close to Q. gilva",,age is set at 10 Ma b/c crown diversification of CTB lineage is mid-Miocene (Deng et al. 2018),Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_ilicifolia,Quercus_ilicifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_imbricaria,Quercus_imbricaria,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_incana,Quercus_incana,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_infectoria,Quercus_infectoria,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_inopina,Quercus_inopina,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_ithaburensis,Quercus_ithaburensis,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_john-tuckeri,Quercus_john-tuckeri,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_kelloggii,Quercus_kelloggii,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_laceyi,Quercus_laceyi,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_laeta,Quercus_laeta,,DELETING DUE TO TAXONOMIC UNCERTAINTY,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,delete
Quercus_laevis,Quercus_laevis,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_laurifolia,Quercus_laurifolia,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_laurina,Quercus_laurina,x,,,,NA,,,,Quercus_section_Lobatae,Nearctic,,,y,retain
Quercus_libani,Quercus_libani,x,,,,NA,,,,Quercus_section_Cerris,Western Palearctic,,,y,retain
Quercus_lobata,Quercus_lobata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_longinux,Quercus_longinux,,Quercus_longinux,sister to Q. myrsinifolia (tentative),Quercus_myrsinifolia,2,"Helardot says ""related to Q. myrsinifolia,"" but no data",http://oaks.of.the.world.free.fr/quercus_longinux.htm,,Quercus_subgenus_Cyclobalanopsis,Eastern Palearctic and Oriental,,,y,retain
Quercus_lusitanica,Quercus_lusitanica,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_lyrata,Quercus_lyrata,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_macranthera,Quercus_macranthera,x,,,,NA,,,,Quercus_section_Quercus,Western Palearctic,,,y,retain
Quercus_macrocarpa,Quercus_macrocarpa,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
Quercus_magnoliifolia,Quercus_magnoliifolia,x,,,,NA,,,,Quercus_section_Quercus,Nearctic,,,y,retain
